date,GSEC_10Y_TRI,GSEC_5Y_TRI
2012-02-29,0.007924124325767279,0.006713214580901017
2012-03-31,-0.007984465001342755,-0.0026407351384793998
2012-04-30,-0.010113419305023963,-0.003916061737263554
2012-05-31,0.0066059666637325876,0.005945148436220515
2012-06-30,0.031019289258969795,0.020205308974891922
2012-07-31,0.012575536667662979,0.009431763310443042
2012-08-31,-0.002237053460497518,0.0007521208595469009
2012-09-30,0.006373137181071797,0.005804173062174733
2012-10-31,0.006831795785258166,0.0060725207274086035
2012-11-30,0.0009311805939393736,0.0026123730050966465
2012-12-31,0.009531891442978724,0.007653204726432161
2013-01-31,0.024025520266958367,0.016087281552009003
2013-02-28,0.007279299360548386,0.006328844504864373
2013-03-31,-0.0004468410006359669,0.0018119481497340661
2013-04-30,0.01053819837801373,0.00823013121182159
2013-05-31,0.02868725177803033,0.018739498204570104
2013-06-30,0.01189270840689205,0.008998845228541219
2013-07-31,-0.01841694647460035,-0.008708805966936017
2013-08-31,-0.03761166534610183,-0.020163050963698415
2013-09-30,-0.0143929015361427,-0.006448977597505734
2013-10-31,0.007143466052852432,0.006261493772907301
2013-11-30,-0.015324853738638677,-0.007034482821521193
2013-12-31,0.004239719193818159,0.0045504967200495905
2014-01-31,0.01296244709726646,0.009692275743971912
2014-02-28,0.0016929129045641922,0.0030469908359456177
2014-03-31,0.00332805042242601,0.004012375140381108
2014-04-30,-0.005408912710559877,-0.0011642005860064142
2014-05-31,0.021824386289435616,0.014902584144062203
2014-06-30,0.013543403620617234,0.010027252306146206
2014-07-31,0.003448726519894141,0.004085734919658357
2014-08-31,0.011805328769528778,0.009002240063826328
2014-09-30,0.009943080067519317,0.007905536183672845
2014-10-31,0.011339690493173293,0.0087221352553708
2014-11-30,0.020387965199784697,0.014002847543873154
2014-12-31,0.021535451879756806,0.014648046063803433
2015-01-31,0.01651555919884573,0.011710615616290498
2015-02-28,0.009023818765751201,0.007343805274793391
2015-03-31,-0.0015006045688964464,0.0011980058606060329
2015-04-30,0.003581039103744077,0.00416888278564187
2015-05-31,0.003655357832006878,0.004212272126710825
2015-06-30,0.008135827820991759,0.006827982817489087
2015-07-31,0.003896676695641199,0.0043533298508950935
2015-08-31,0.006970444958493305,0.006147610226305611
2015-09-30,0.008621426459088255,0.007109194617802128
2015-10-31,0.014509222322511395,0.010529726288784236
2015-11-30,-0.005972106060157301,-0.0014150488905844139
2015-12-31,0.001384105791612411,0.0028854843324508384
2016-01-31,0.013620277379543966,0.010017339087499577
2016-02-29,0.0010022273205936294,0.002663575476994362
2016-03-31,0.014514673637455955,0.010532101031392349
2016-04-30,0.0154795351354724,0.011082039836296298
2016-05-31,0.016051067531462904,0.011401646289589618
2016-06-30,-0.011501208368691063,-0.004631559022022058
2016-07-31,0.015688059576852265,0.011196736569572652
2016-08-31,0.019900662904347,0.013615722529682017
2016-09-30,0.024986611518189594,0.016515017064707038
2016-10-31,0.010293397345298105,0.008044089580638403
2016-11-30,0.017076415872829598,0.011939666288857342
2016-12-31,0.010612278850675061,0.00821605122087754
2017-01-31,-0.0148763569900624,-0.00653165152350077
2017-02-28,-0.00923563345842826,-0.003268819782857313
2017-03-31,-0.005568836551289258,-0.0011451816840007956
2017-04-30,0.0010685193880533017,0.002710422448780836
2017-05-31,0.008204944617383525,0.006849007030921728
2017-06-30,0.044193090023874726,0.02746335146327694
2017-07-31,0.006838562802255366,0.006043808377258486
2017-08-31,0.00039677535017679233,0.0023280284718900646
2017-09-30,-0.00453741262756413,-0.0005287081312554953
2017-10-31,-0.011616932195244956,-0.00465066679968984
2017-11-30,-0.011602200310957156,-0.004660896199181308
2017-12-31,-0.008834413796039997,-0.003061609766798812
2018-01-31,0.01414968547971207,0.01029660625324258
2018-02-28,-0.02062416366397346,-0.009983035255933914
2018-03-31,0.0020046846964538734,0.003250189432177253
2018-04-30,0.009028661853189401,0.007340710916922344
2018-05-31,-0.016617123051503202,-0.00766727636071296
2018-06-30,-0.0016679322408026387,0.0010960677904119365
2018-07-31,0.014538275649772503,0.010559867721502414
2018-08-31,0.0030143833326476965,0.0038378179173961247
2018-09-30,-0.009120107900215335,-0.003280364796727442
2018-10-31,0.011591001991310579,0.008848411078505203
2018-11-30,0.014908335919795457,0.010774311911273093
2018-12-31,0.03489071534956012,0.022300131889648078
2019-01-31,0.006480091812513411,0.005854095043060781
2019-02-28,-0.00147796991317517,0.0012235419290231864
2019-03-31,0.005883181871981336,0.005508275407233532
2019-04-30,0.004068287916602742,0.004452834553078544
2019-05-31,0.011447187001635717,0.008736649936342156
2019-06-30,0.031073731994296416,0.020030194138242585
2019-07-31,0.03198705356920617,0.020491361360358562
2019-08-31,0.002766362350212992,0.0036962024823303796
2019-09-30,-0.009813531124467922,-0.003592748602539886
2019-10-31,0.02456053362926469,0.016228637990249206
2019-11-30,-0.0025127982190600306,0.0006459224043688927
2019-12-31,-0.0112018717253074,-0.004401630362622533
2020-01-31,0.006383220540260082,0.005787508691078136
2020-02-29,0.016382099568319486,0.011544218501584602
2020-03-31,0.0012834228491755972,0.002839400407399717
2020-04-30,-0.00028308214619465755,0.0019327313140573565
2020-05-31,0.06922597014476439,0.04143501540241967
2020-06-30,0.00863330482788438,0.00705125871760881
2020-07-31,0.0071390575818162105,0.0061950733448388196
2020-08-31,-0.010400971608211518,-0.0038773173111565917
2020-09-30,0.0031010850102120013,0.0038857672843199964
2020-10-31,0.010117047316489103,0.007904072682496821
2020-11-30,0.007839153403336852,0.006598376361719227
2020-12-31,0.004290557120575134,0.004566227751475527
2021-01-31,0.0004954285327152252,0.002390361450872236
2021-02-28,-0.014406395826134788,-0.006202520247242327
2021-03-31,-0.007362699609136936,-0.0021450668821366703
2021-04-30,0.009501795095842924,0.007566528827362751
2021-05-31,0.008299033185348081,0.006873785207019534
2021-06-30,0.0010937798459966785,0.0027325811350900064
2021-07-31,0.00863316728793917,0.007064964342559321
2021-08-31,-0.0010948940199829726,0.0014722406701561663
2021-09-30,0.01107841513758534,0.00846691557116408
2021-10-31,-0.008402642472194244,-0.002746215422396392
2021-11-30,0.004663170251645754,0.004787223550213993
2021-12-31,-0.0020652161504481903,0.0009095411998745195
2022-01-31,-0.01053077433008287,-0.003996417616912162
2022-02-28,-0.0035073389285713574,6.677807402466485e-05
2022-03-31,-0.0006843357736950884,0.0016994976786373073
2022-04-30,-0.016273859847953265,-0.007378648625023021
2022-05-31,-0.015636911956831367,-0.007038109594426745
2022-06-30,-0.0057756735734881826,-0.0012877081605251472
2022-07-31,0.013923366600243847,0.010177091347604916
2022-08-31,0.013884314116858976,0.01014644464562564
2022-09-30,0.004150758420305101,0.004500181479243803
2022-10-31,-0.008735302968627345,-0.0030120425297243125
2022-11-30,0.012433561001923943,0.009310327718492273
2022-12-31,0.009201021393771658,0.0074323010935331
2023-01-31,-0.0023654763248742716,0.0007077595371374201
2023-02-28,0.008630169804173082,0.007102352689313696
2023-03-31,0.002732251755000803,0.003675717548927704
2023-04-30,0.017754260677823597,0.012378975398632308
2023-05-31,0.01681473124042121,0.011822109147975102
2023-06-30,0.0014484584485177088,0.002932103824331289
2023-07-31,0.00022963512760654226,0.0022240993978783763
2023-08-31,-0.000760846053567632,0.0016473467552398091
2023-09-30,0.005476436739669133,0.0052686839555762255
2023-10-31,-0.008328844927690038,-0.002766615948447959
2023-11-30,0.010410503498571533,0.008132869530862674
2023-12-31,0.007907628024128144,0.0066798510968630875
2024-01-31,0.006107826467932176,0.0056354118400592235
2024-02-29,0.01276344996882206,0.00948651706115422
2024-03-31,0.006104162333685048,0.005630914689207067
2024-04-30,-0.0014678946056740916,0.0012373680941608622
2024-05-31,0.01154095675410205,0.008777517379183974
2024-06-30,0.006788299656633301,0.0060262032894908835
2024-07-31,0.005572167155674768,0.005321773117025641
2024-08-31,0.011623448454216811,0.00881787118720534
2024-09-30,0.010129695793881899,0.007951708711060546
2024-10-31,0.007902187066352484,0.006663930902415904
2024-11-30,0.0024217815498805972,0.0034971411497850546
2024-12-31,0.006940495764556243,0.006108404007272528
2025-01-31,0.005828165590789913,0.005465573670540902
2025-02-28,0.006263497079068481,0.005716449696822945
2025-03-31,0.008060705969696658,0.006752206797233873
2025-04-30,0.02125603436661061,0.014323886452453527
2025-05-31,0.017908892020609857,0.012387553446927768
2025-06-30,0.0016125723980280338,0.0030310787961824737
2025-07-31,0.0011094525692116886,0.002741194870429009
2025-08-31,-0.008352862367543845,-0.0027270611456438054
2025-09-30,-0.00031370142072650875,0.0019179034309899645
2025-10-31,0.01195175859442954,0.008984164986558518
2025-11-30,0.00022023576166962933,0.0022268479730660484
2025-12-31,-0.002647616391787233,0.0005680350911110299
2026-01-31,-0.0029331540046468874,0.00039982638253088787
2026-02-28,0.0015977795638557613,0.0030207049012889176
2026-03-31,-0.0007235948928112634,0.0016763684170029158
2026-04-30,-0.010819234290150859,-0.00419526693108907
2026-05-31,0.006677398959637149,0.0059619418515681755
